id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
102,48,3,3,30,2025-05-02 08:43:13,2025-05-02 08:43:13,chaii,10,1,2025-05-02,08:43:13,Friday,8
103,52,2,2,30,2025-05-02 08:43:21,2025-05-02 08:43:21,samosa,15,1,2025-05-02,08:43:21,Friday,8
104,52,3,3,30,2025-05-02 08:43:21,2025-05-02 08:43:21,chaii,10,1,2025-05-02,08:43:21,Friday,8
105,49,2,2,30,2025-05-02 08:43:21,2025-05-02 08:43:21,samosa,15,1,2025-05-02,08:43:21,Friday,8
106,49,3,3,30,2025-05-02 08:43:21,2025-05-02 08:43:21,chaii,10,1,2025-05-02,08:43:21,Friday,8
107,50,2,2,30,2025-05-02 08:43:21,2025-05-02 08:43:21,samosa,15,1,2025-05-02,08:43:21,Friday,8
108,50,3,3,30,2025-05-02 08:43:21,2025-05-02 08:43:21,chaii,10,1,2025-05-02,08:43:21,Friday,8
109,51,2,2,30,2025-05-02 08:43:21,2025-05-02 08:43:21,samosa,15,1,2025-05-02,08:43:21,Friday,8
110,51,3,3,30,2025-05-02 08:43:21,2025-05-02 08:43:21,chaii,10,1,2025-05-02,08:43:21,Friday,8
111,53,2,3,45,2025-05-02 12:27:24,2025-05-02 12:27:24,samosa,15,1,2025-05-02,12:27:24,Friday,12
112,53,3,3,30,2025-05-02 12:27:24,2025-05-02 12:27:24,chaii,10,1,2025-05-02,12:27:24,Friday,12
113,53,4,3,30,2025-05-02 12:27:24,2025-05-02 12:27:24,moms magik biscute,10,1,2025-05-02,12:27:24,Friday,12
114,53,6,4,140,2025-05-02 12:27:24,2025-05-02 12:27:24,Lassi,35,1,2025-05-02,12:27:24,Friday,12
115,53,7,3,30,2025-05-02 12:27:24,2025-05-02 12:27:24,Chach,10,1,2025-05-02,12:27:24,Friday,12
116,54,2,3,45,2025-05-02 12:27:50,2025-05-02 12:27:50,samosa,15,1,2025-05-02,12:27:50,Friday,12
117,54,3,3,30,2025-05-02 12:27:50,2025-05-02 12:27:50,chaii,10,1,2025-05-02,12:27:50,Friday,12
118,54,4,5,50,2025-05-02 12:27:50,2025-05-02 12:27:50,moms magik biscute,10,1,2025-05-02,12:27:50,Friday,12
119,55,2,3,45,2025-05-05 12:07:12,2025-05-05 12:07:12,samosa,15,1,2025-05-05,12:07:12,Monday,12
120,55,3,3,30,2025-05-05 12:07:12,2025-05-05 12:07:12,chaii,10,1,2025-05-05,12:07:12,Monday,12
121,55,4,3,30,2025-05-05 12:07:12,2025-05-05 12:07:12,moms magik biscute,10,1,2025-05-05,12:07:12,Monday,12
122,56,2,4,60,2025-05-05 12:07:36,2025-05-05 12:07:36,samosa,15,1,2025-05-05,12:07:36,Monday,12
123,56,3,5,50,2025-05-05 12:07:36,2025-05-05 12:07:36,chaii,10,1,2025-05-05,12:07:36,Monday,12
124,56,4,4,40,2025-05-05 12:07:36,2025-05-05 12:07:36,moms magik biscute,10,1,2025-05-05,12:07:36,Monday,12
125,56,6,5,175,2025-05-05 12:07:36,2025-05-05 12:07:36,Lassi,35,1,2025-05-05,12:07:36,Monday,12
126,56,7,5,50,2025-05-05 12:07:36,2025-05-05 12:07:36,Chach,10,1,2025-05-05,12:07:36,Monday,12
127,57,2,3,45,2025-05-06 06:22:15,2025-05-06 06:22:15,samosa,15,1,2025-05-06,06:22:15,Tuesday,6
